ID,lineSection_ID,kmFrom,kmTo,latitude,longitude,markingDate,inspector,serviceType_code,condition_code,status_code,notes
39b94f99-c0ca-476f-99dd-dee9ee13182e,50cc6f01-2da6-4733-9961-c3f1e05296d8,2.100,2.100,-22.906800,-43.172900,2026-07-01T08:30:00Z,Carlos Silva,SLEEPER_REPLACEMENT,CRITICO,MARKED,
7a3c9f34-389f-48de-9e29-287047749072,50cc6f01-2da6-4733-9961-c3f1e05296d8,5.500,5.800,-22.910000,-43.200000,2026-07-02T09:15:00Z,Carlos Silva,TAMPING,ATENCAO,IN_PLANNING,
14ba2a7b-c222-4192-b8ed-a481659faf25,9eb3599b-2b94-4264-a6bd-4acb11583f16,20.000,20.250,-19.916700,-43.934500,2026-07-03T10:00:00Z,Ana Souza,FASTENING_REPLACEMENT,OK,MARKED,
e7868b04-dd0f-48cb-a8ba-edf8aa6d91bf,9eb3599b-2b94-4264-a6bd-4acb11583f16,28.000,28.100,-19.920000,-43.940000,2026-07-04T11:45:00Z,Ana Souza,RAIL_GRINDING,CRITICO,REJECTED,Duplicada de outra marcacao ja registrada no mesmo ponto.
d0608058-4fca-4cb4-a2be-bcc57940d44a,df7109e0-cc3d-4f10-b7d3-7e57621704bc,10.000,10.500,-23.550500,-46.633300,2026-07-05T14:20:00Z,Bruno Costa,DITCH_CLEANING,ATENCAO,MARKED,
fc04077b-4df5-4cdb-8d03-3039ba8b34e6,50cc6f01-2da6-4733-9961-c3f1e05296d8,9.400,9.461,-22.924832,-43.218526,2026-07-06T14:00:00Z,Juliana Alves,DITCH_CLEANING,OK,REJECTED,Trecho fora da area de responsabilidade do fiscal.
925a2288-4003-4023-b89d-6d865d73dadd,9eb3599b-2b94-4264-a6bd-4acb11583f16,15.547,15.639,-19.918012,-43.935446,2026-07-07T00:00:00Z,Juliana Alves,DITCH_CLEANING,ATENCAO,IN_PLANNING,
c480c28b-6e50-48d1-ae79-1de31eb70e01,df7109e0-cc3d-4f10-b7d3-7e57621704bc,8.849,9.024,-23.549319,-46.628345,2026-07-07T09:00:00Z,Juliana Alves,RAIL_GRINDING,ATENCAO,ORDERED,
ab24cdfc-214e-4988-8ba9-6fddb1dc64e1,50cc6f01-2da6-4733-9961-c3f1e05296d8,2.286,2.767,-22.911359,-43.184540,2026-07-07T16:00:00Z,Bruno Costa,FASTENING_REPLACEMENT,CRITICO,ORDERED,
d7a369dc-605d-438d-8806-3580d0ebee30,9eb3599b-2b94-4264-a6bd-4acb11583f16,28.883,29.261,-19.939093,-43.961906,2026-07-08T08:00:00Z,Carlos Silva,DITCH_CLEANING,ATENCAO,REJECTED,Servico ja executado antes da marcacao.
918e230d-b21c-45f5-b088-89ae57d4648e,df7109e0-cc3d-4f10-b7d3-7e57621704bc,11.374,11.741,-23.556318,-46.637401,2026-07-08T21:00:00Z,Carlos Silva,TAMPING,OK,CLOSED,
83b89c31-2175-4939-b528-4b2270b543dd,50cc6f01-2da6-4733-9961-c3f1e05296d8,4.086,4.422,-22.914698,-43.192748,2026-07-09T07:00:00Z,Juliana Alves,FASTENING_REPLACEMENT,CRITICO,MARKED,
9f2aa8c0-7890-4a6f-b8dc-291233e1c68e,9eb3599b-2b94-4264-a6bd-4acb11583f16,25.477,25.604,-19.933276,-43.956292,2026-07-09T23:00:00Z,Bruno Costa,DITCH_CLEANING,OK,ORDERED,
d4c19ec4-7423-42dd-af84-788cd8e35d25,df7109e0-cc3d-4f10-b7d3-7e57621704bc,16.604,17.003,-23.567793,-46.654712,2026-07-10T13:00:00Z,Fernanda Lima,FASTENING_REPLACEMENT,OK,IN_PLANNING,
5440472a-576d-4cca-a55f-0dc11ac70cb7,50cc6f01-2da6-4733-9961-c3f1e05296d8,13.423,13.728,-22.931687,-43.237880,2026-07-11T08:00:00Z,Fernanda Lima,RAIL_GRINDING,OK,ORDERED,
